claudeignore | cost | .claudeignore Templates | PRESENT | ./claudeignore-templates/node.claudeignore, ./claudeignore-templates/go.claudeignore, ./claudeignore-templates/python.claudeignore
prophet | enterprise-intel | The Prophet | PRESENT | ./scripts/prophet.js, ./skills/architecture/prophet.md
invariant | enterprise-intel | Invariant Discovery | PRESENT | ./skills/ai-engineering/skill-discovery.md, ./skills/ai-engineering/mcp-dynamic-discovery.md, ./skills/ai-engineering/nl/skill-discovery.md, ./skills/ai-engineering/de/skill-discovery.md, ./skills/ai-engineering/fr/skill-discovery.md
oracle | enterprise-intel | The Oracle | PRESENT | ./scripts/oracle.js, ./skills/architecture/oracle.md
graph-context | enterprise-intel | Graph-Augmented Context | PRESENT | ./workflows/context-management-flow.md, ./workflows/nl/context-management-flow.md, ./workflows/de/context-management-flow.md, ./workflows/fr/context-management-flow.md, ./workflows/es/context-management-flow.md
recursive-reflection | enterprise-intel | Recursive Reflection | PRESENT | ./hooks/post-tool-use/recursive-reflection.sh, ./hooks/post-tool-use/recursive-reflection.md
svg-map-inspector | enterprise-intel | SVG Interactive Map Inspector | PRESENT | ./skills/frontend/svg-map-inspector.md
architect-federation | multi-agent | Architect / Mason Federation | PRESENT | ./agents/core/architect.md, ./agents/core/nl/architect.md, ./agents/core/de/architect.md, ./agents/core/fr/architect.md, ./agents/core/es/architect.md
cross-talk | multi-agent | Cross-Talk | PRESENT | ./guides/cross-harness-guide.md, ./skills/productivity/cross-talk.md
dba-box | multi-agent | DBA-in-a-Box | PRESENT | ./skills/architecture/dba-in-a-box.md
incident-cmdr | multi-agent | Incident Commander | PRESENT | ./workflows/devops-incident.md, ./workflows/incident-response.md, ./workflows/nl/devops-incident.md, ./workflows/nl/incident-response.md, ./workflows/de/devops-incident.md
self-healing-ci | multi-agent | Self-Healing CI Pipeline | PRESENT | ./skills/devops-infra/heal-ci.md
mcp-discovery | multi-agent | MCP Dynamic Discovery | PRESENT | ./skills/ai-engineering/skill-discovery.md, ./skills/ai-engineering/mcp-dynamic-discovery.md, ./skills/ai-engineering/nl/skill-discovery.md, ./skills/ai-engineering/de/skill-discovery.md, ./skills/ai-engineering/fr/skill-discovery.md
vibe-verify | creative | Vibe & Verify | PRESENT | ./skills/frontend/vibe-verify.md, ./skills/computer-use/screenshot-verify.md, ./skills/computer-use/nl/screenshot-verify.md, ./skills/computer-use/de/screenshot-verify.md, ./skills/computer-use/fr/screenshot-verify.md
figma-bridge | creative | Figma-to-Code Bridge | PRESENT | ./mcp/figma.md, ./mcp/nl/figma.md, ./mcp/de/figma.md, ./mcp/fr/figma.md, ./mcp/es/figma.md
artifact | creative | The Artifact | PRESENT | ./guides/live-artifacts.md, ./guides/nl/live-artifacts.md, ./guides/de/live-artifacts.md, ./guides/fr/live-artifacts.md, ./guides/es/live-artifacts.md
atomic-commit | creative | Atomic Commit Hook | PRESENT | ./hooks/post-tool-use/atomic-commit.md, ./hooks/post-tool-use/atomic-commit.sh, ./scripts/commit.js, ./rules/common/commit-conventions.md, ./rules/common/nl/commit-conventions.md
design-extract | creative | Design System Extraction | PRESENT | ./skills/frontend/design-system-extraction.md
pulse-statusline | ux | The Pulse Statusline | PRESENT | ./guides/statusline-scripting-guide.md, ./skills/small-business/weekly-pulse.md, ./skills/small-business/nl/weekly-pulse.md, ./skills/small-business/de/weekly-pulse.md, ./skills/small-business/fr/weekly-pulse.md
matrix-theme | ux | The Matrix Theme Pack | PRESENT | ./themes/matrix.json
power-keybindings | ux | Power-User Keybindings | PRESENT | ./keybindings/power-user.json, ./keybindings/vim.json, ./keybindings/emacs.json, ./keybindings/README.md, ./keybindings/ergonomic.json
shell-aliases | ux | High-Speed Shell Aliases | PRESENT | ./scripts/install-aliases.sh
dashboard-launcher | ux | Offline GUI Desktop Dashboard | PRESENT | ./workflows/offline-validation.md, ./agents/roles/offline-validator.md, ./agents/roles/nl/offline-validator.md, ./agents/roles/de/offline-validator.md, ./agents/roles/fr/offline-validator.md
